
         designation          ra         dec  w1mpro  w2mpro  w3mpro  w4mpro           dist       angle

   J143156.10+084929.0  217.9837642    8.8247430   16.097   15.131   10.746    9.194       92.574515   349.604223 
   J143204.51+084742.2  218.0188303    8.7950611   15.011   14.294   11.146    8.450      109.196123    98.317256 
   J143155.09+085031.5  217.9795441    8.8421011    8.644    8.760    8.651    8.762      156.785602   348.329241 
   J143152.69+085029.2  217.9695722    8.8414680   15.998   15.721   11.855    9.262      165.516898   336.050619 
   J143204.29+085030.1  218.0178898    8.8416960   15.152   14.943   12.589    9.232      184.637217    34.540900 
   J143201.39+084409.1  218.0058208    8.7358862   15.398   14.795   11.336    9.032      237.019623   164.892709 
   J143202.59+084405.7  218.0108106    8.7349429   16.003   15.244   11.758    8.860      245.463914   161.095327 
   J143203.20+085204.7  218.0133371    8.8679949   14.685   14.194   10.729    8.853      262.150097    19.727266 
   J143146.78+085129.9  217.9449548    8.8583113   15.406   14.976   11.067    9.042      262.399476   323.860582 
   J143136.63+084908.7  217.9026523    8.8191043   15.351   14.176   11.536    8.664      313.356545   283.056417 
   J143216.34+084406.0  218.0681021    8.7350033   15.827   14.607   11.903    8.983      366.226028   129.303535 
   J143152.41+085441.8  217.9683756    8.9116184   15.810   15.367   11.471    9.139      410.077494   349.968519 
   J143129.05+084848.1  217.8710553    8.8133851   14.933   14.739   12.181    9.254      420.676282   276.857903 
   J143221.75+085146.8  218.0906305    8.8630136   16.125   15.699   12.628    8.873      429.489306    57.797788 
   J143136.44+085320.1  217.9018359    8.8889190   16.214   15.365   11.375    8.481      445.747113   316.274630 
   J143201.86+085520.8  218.0077617    8.9224509   15.069   14.390   10.782    8.759      448.094428     8.812067 
   J143131.42+085227.5  217.8809272    8.8743143   14.693   13.847   11.136    8.606      467.931758   305.175360 
   J143203.44+085552.5  218.0143342    8.9312540   16.553   15.036   11.975    9.027      483.337470    10.974962 
   J143213.16+085504.6  218.0548391    8.9179698   16.370   16.078   12.655    9.209      487.645552    28.954450 
   J143225.74+085228.9  218.1072528    8.8747025   16.795   15.674   12.278    9.005      501.959619    57.327475 
   J143122.02+084742.4  217.8417822    8.7951164   16.744   15.913   11.906    9.290      522.061048   268.298770 
   J143142.18+084000.2  217.9257512    8.6667370   14.232   14.061   10.461    8.379      527.304434   205.039045 
   J143217.09+085524.4  218.0712495    8.9234596   16.527   15.290   12.149    8.742      534.813086    33.403948 
   J143121.59+084924.6  217.8399930    8.8235046   15.470   14.264   11.315    8.793      535.225128   279.322448 
   J143139.46+084001.1  217.9144432    8.6669955   15.523   14.246   11.596    9.091      544.735818   208.918834 
   J143130.00+085422.1  217.8750413    8.9061532   15.308   14.676   11.299    8.480      557.066637   313.604081 
   J143212.27+083926.8  218.0511348    8.6574627   15.431   14.826   11.796    9.127      557.687220   156.423634 
   J143132.12+085457.3  217.8838386    8.9159240   15.618   15.182   12.255    9.237      560.633485   318.418163 
   J143155.92+083815.9  217.9830173    8.6377533   12.030   11.947    8.171    6.306      582.430279   181.905997 
   J143150.84+083813.3  217.9618675    8.6370520   15.619   14.680   11.794    8.722      592.241215   189.196004 
   J143116.92+084628.7  217.8205023    8.7746511   14.972   14.289   11.336    9.020      604.183179   261.515512 
   J143122.25+085309.6  217.8427373    8.8860006    5.651    5.604    5.674    5.635      604.803347   301.020625 
   J143116.80+084609.5  217.8200031    8.7693271   16.741   16.275   12.421    9.100      609.062920   259.756789 
